record_id,model,concerns_living_things,organisms,organism_level,topic,about_organisms_themselves,ecological_purpose_stated,form,language,model_reason,input_tokens,output_tokens,thinking_tokens
oai:datadryad.org:doi:10.5061/dryad.f127gp0,gemini-3.1-flash-lite,True,Batrachochytrium dendrobatidis; Chytrid; American Bullfrog; Rana catesbeiana; Mountain yellow-legged frog; Rana muscosa; amphibian-killing chytrid fungus; Bd,species,organisms,not_applicable,not_applicable,dataset,english,The record describes an infection experiment involving specific frog species and a fungal pathogen.,1129,182,
oai:borealisdata.ca:378674_200569,gemini-3.1-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,"The record is a georeferenced historical topographic map showing physical and man-made features, with no specific focus on living organisms.",1115,120,
oai:open.canada.ca:4c47aadf-94c5-467b-aa29-678e7398ee18,gemini-3.1-flash-lite,True,timber,group,forestry_agriculture_fisheries,yes,not_applicable,dataset,english,"The record describes a historical forest inventory focused on timber resources, species composition, and stand characteristics.",1059,121,
oai:datadryad.org:doi:10.5061/dryad.4m5d5m9,gemini-3.1-flash-lite,True,Atlantic salmon; Salmo salar,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset containing genomic data about Atlantic salmon populations and their chromosome polymorphisms.,1027,125,
oai:open.canada.ca:eda98c3b-d372-488e-a5b0-588743063de1,gemini-3.1-flash-lite,True,species at risk,group,organisms,not_applicable,not_applicable,dataset,english,The record provides status updates and timelines for recovery strategies for species at risk under the Endangered Species Act.,820,121,
oai:datadryad.org:doi:10.5061/dryad.6h3f7,gemini-3.1-flash-lite,True,Drosophila melanogaster,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset about the fitness and selection of the species Drosophila melanogaster in relation to diet and environmental resources.,976,124,
oai:open.canada.ca:01e60fcd-cfda-4ba3-b08f-5abf5e582442,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,The record describes administrative geographic boundaries used for health data mapping and does not mention any living organisms.,891,110,
oai:data-hrm.hub.arcgis.com-pages-open-data-catalogue:21d9299f13d54a37a8dc1c85916bb08b,gemini-3.1-flash-lite,True,,none,land_and_boundaries,not_applicable,yes,dataset,english,"The record is a polygon dataset of natural vegetation patches with a stated purpose of protecting biodiversity, soil, and water.",837,116,
oai:borealisdata.ca:214015_200569,gemini-3.1-flash-lite,True,wooded areas,group,land_and_boundaries,not_applicable,no,dataset,english,"The record is a georeferenced topographic map which depicts land features including wooded areas, but it does not have an ecological or conservation purpose.",1101,132,
oai:open.canada.ca:25b1d384-882d-4aef-949c-68e8c038bf8b,gemini-3.1-flash-lite,True,grandes cultures,group,forestry_agriculture_fisheries,no,not_applicable,dataset,french,"The record provides agricultural production and economic data for field crops, which is a forestry_agriculture_fisheries topic focused on economic values rather than the biology of the organisms.",775,132,
oai:https-zenodo.org:10.5281/zenodo.16375031,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,report,english,The record discusses prompt engineering as a research methodology and service delivery tool and does not mention living organisms or ecosystems.,782,113,
oai:borealisdata.ca-dataverse-odesi-data:48360_493341,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,"The record describes a dataset of business establishment counts categorized by industry sectors, including forestry and fishing, but it is an administrative record about business statistics rather than the organisms themselves.",1088,125,
oai:open.canada.ca:7087fe3f-ec6d-5a87-a77d-aac284a8038d,gemini-3.1-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,report,french,The record describes a geophysical borehole report which is a physical environment measurement with no mention of living organisms.,776,113,
oai:data.ontario.ca:exceptional-access-program-eap-dataset,gemini-3.1-flash-lite,True,,none,human_health,not_applicable,not_applicable,dataset,french,The record describes a dataset concerning a health program for patients and physicians.,785,107,
oai:datadryad.org:doi:10.5061/dryad.mkkwh7142,gemini-3.1-flash-lite,True,,none,organisms,not_applicable,not_applicable,dataset,english,"The record is a dataset about species interactions and environmental gradients, but it does not name any specific organisms or groups of organisms.",1019,116,
oai:borealisdata.ca-dataverse-westernu:423405_201809_290067_392452,gemini-3.1-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,"The record describes digital boundary files for federal electoral districts and census data, which are administrative and cartographic in nature.",956,116,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/51707,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,other,english,The record is about mathematical finance and economics and does not mention living organisms or ecosystems.,749,108,
oai:catalogue.cioos.ca:ca-cioos_01c85cfa-450f-41f1-a582-d56175cd0caa,gemini-3.1-flash-lite,True,poissons; brochet; doré; perchaude; meunier noir; crapet-soleil; barbotte brune; esturgeon jaune,species,organisms,not_applicable,not_applicable,dataset,french,The record describes a dataset of fish species surveys conducted in the St. Lawrence River.,974,168,
oai:geohub.lio.gov.on.ca:5a453c09bbf244a5aad0d9f00fb8a4f9,gemini-3.1-flash-lite,True,plants; animals,group,land_and_boundaries,not_applicable,yes,other,english,"The record describes a mapping application for natural heritage areas, which includes ecological features like wetlands and areas of scientific interest.",890,129,
oai:open.canada.ca:6639c8cb-ac43-417a-8bc7-551bc3f6ed98,gemini-3.1-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,french,The record describes cadastral and land survey data for administrative purposes with no mention of living organisms.,918,112,
oai:borealisdata.ca-dataverse-carleton:81591_157_81319_81324_81576,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,The record is a public opinion poll concerning social and political issues in Canada and does not involve living organisms or ecosystems.,923,114,
oai:gnb.socrata.com:p3jb-t5d4,gemini-3.1-flash-lite,True,Ascophyllum nodosum; rockweed; algue noueuse; seabird; oiseaux marins,species,forestry_agriculture_fisheries,no,not_applicable,dataset,english and french,"The record describes the management and harvesting sectors for rockweed and mentions associated conservation measures for seabirds, making it a fisheries management record.",1063,163,
oai:borealisdata.ca-dataverse-mcmaster:989261_707009,gemini-3.1-flash-lite,True,spruce budworm; fish,group,organisms,not_applicable,not_applicable,dataset,english,The record provides datasets regarding mercury bioaccumulation in stream food webs and fish populations affected by spruce budworm defoliation.,915,131,
oai:open.canada.ca:55aca431-30bc-5ec2-aed2-0107219db8d8,gemini-3.1-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,"The record describes seismic and magnetotelluric data collected for the LITHOPROBE project, which are geophysical measurements.",849,118,
oai:borealisdata.ca-dataverse-ubc:441232_150149,gemini-3.1-flash-lite,True,angiosperms; plants,group,organisms,not_applicable,not_applicable,report,english,The record is a synthesis of studies regarding trait-dependent diversification models in angiosperms.,984,123,
oai:open.canada.ca:67e95c68-c1ef-4363-b351-0dfead151122,gemini-3.1-flash-lite,True,,none,land_and_boundaries,not_applicable,yes,dataset,french,The record describes forest inventory zones used for ecological classification of land in British Columbia.,840,109,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/61979,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,other,english,The record is about mathematical concepts in geometry and does not mention living organisms or ecosystems.,798,108,
oai:open.canada.ca:21387052-301d-5bc3-ba99-7240e60ab0f8,gemini-3.1-flash-lite,True,végétation,group,land_and_boundaries,not_applicable,no,dataset,french,"The record describes a dataset of satellite imagery used for land cover and climate change studies, mentioning vegetation indices.",1176,123,
oai:open.canada.ca:1d7cccbc-da07-49df-aa4c-f5b009fbcb5b,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,The record is a statistical dataset regarding government expenditures on cultural activities and does not mention living organisms or ecosystems.,961,112,
oai:borealisdata.ca-dataverse-odesi-data:561056_653960,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,The record describes a postal code conversion file used for linking postal codes to census geographic units for statistical and administrative purposes.,1304,114,
oai:borealisdata.ca-dataverse-guelph:1158092_16_41161_159675,gemini-3.1-flash-lite,True,dairy cow,species,forestry_agriculture_fisheries,no,not_applicable,dataset,english,The record is a spreadsheet tool for calculating financial returns on agricultural livestock management.,823,118,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/55547,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,other,english,The record is about mathematical research in numerical analysis and optimization and does not mention living things.,757,109,
oai:borealisdata.ca-dataverse-mcmaster:918991_144,gemini-3.1-flash-lite,True,Red Pine,species,forestry_agriculture_fisheries,yes,not_applicable,dataset,english,The record provides research data on sap flow and transpiration in Red Pine trees within a managed forest setting.,838,117,
oai:borealisdata.ca-dataverse-westernu:458127_201809_290067_392452,gemini-3.1-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,The record describes census tract boundary files for mapping social science data and does not mention any living organisms or ecological purposes.,955,116,
oai:niagaraopendata.ca:niagara-falls-woodland-management-inventory-wgs-1984,gemini-3.1-flash-lite,True,trees,group,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The record describes a dataset of woodlot boundaries managed by a city committee, which relates to forestry management rather than the biological study of the trees themselves.",817,132,
oai:datadryad.org:doi:10.5061/dryad.kb418,gemini-3.1-flash-lite,True,Dendroctonus ponderosae; mountain pine beetle,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset concerning the genetic structure and mating system of the mountain pine beetle species.,986,132,
oai:circle.library.ubc.ca:oai:circle.library.ubc.ca:2429/88145,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,report,english,The record is a thesis about the engineering and design of electronic skin sensors for robotics and does not concern living organisms.,1162,114,
oai:catalogue.cioos.ca:ca-cioos_ccin-11992,gemini-3.1-flash-lite,True,bancs de poissons; mammifères marins,group,physical_environment,not_applicable,not_applicable,dataset,french,"The record describes raw sonar data collected in the Beaufort Sea, which is a physical measurement, though it mentions fish and marine mammals as targets of interest.",927,142,
oai:https-zenodo.org:10.5281/zenodo.18930062,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,report,english,The record describes a mathematical optimization model for a vehicle routing problem and does not mention any living organisms or ecological subjects.,917,114,
oai:https-zenodo.org:10.5281/zenodo.11377727,gemini-3.1-flash-lite,True,Sphagnum moss; Feather moss; S. fuscum,species,habitat_or_ecosystem,not_applicable,not_applicable,report,english,The record describes an experimental study on moss restoration methods to enhance ecosystem recovery in post-wildfire peatlands.,933,144,
oai:borealisdata.ca-dataverse-manitoba:700422_703751,gemini-3.1-flash-lite,True,honey bee,species,forestry_agriculture_fisheries,yes,not_applicable,dataset,english,"The record provides data on honey bee viruses in an agricultural context, focusing on treatment methods for these organisms.",775,124,
oai:open.canada.ca:e31399e5-5de6-4038-a26d-0d401c9c68b3,gemini-3.1-flash-lite,True,,none,human_health,not_applicable,not_applicable,dataset,french,"The record describes a surveillance system for congenital anomalies in humans, which is a human health topic.",846,112,
oai:datadryad.org:doi:10.5061/dryad.d2547d8fh,gemini-3.1-flash-lite,True,Littorina littorea; L. littorea; snail; algal; littorinid,species,organisms,not_applicable,not_applicable,dataset,english,The record provides population density and size structure data for the species Littorina littorea to analyze its macroecology and response to environmental gradients.,1107,157,
oai:open.canada.ca:746678be-acaf-5f4d-b1c7-060fa6ef334f,gemini-3.1-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,"The record describes seismic and magnetotelluric geophysical data collected during the LITHOPROBE project, which does not involve living organisms.",851,121,
oai:borealisdata.ca-dataverse-carleton:110551_106202,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,report,english,The record is a historical and architectural assessment of a university building and does not mention any living organisms or ecosystems.,1229,113,
oai:loyalistmigrations-westernu.opendata.arcgis.com:c995f4e4fb03439b80cc0034ec144c99,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,other,english,"The record describes a historical research project focused on Loyalist migration and archival records, which does not involve living organisms or ecosystems.",807,116,
oai:borealisdata.ca-dataverse-ubc:1157466_150149,gemini-3.1-flash-lite,True,bark beetle; defoliator; forest insects; insects; plant pathogens,group,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset documenting the spatial and temporal patterns of forest insect outbreaks and their interactions.,1116,144,
oai:borealisdata.ca-dataverse-odesi-data:576454_493340,gemini-3.1-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,"The record is a survey dataset about tourism, travel habits, and expenditures, where mentions of activities like fishing or hunting are incidental to the economic and social data collected.",1026,124,
oai:catalogue.data.gov.bc.ca:oregon-spotted-frog-critical-habitat-on-non-federal-land-data-south-coast-sbot,gemini-3.1-flash-lite,True,Oregon Spotted Frog,species,land_and_boundaries,not_applicable,yes,dataset,english,"The record describes a mapping tool for critical habitat of the Oregon Spotted Frog, which is a land-based spatial dataset with a stated conservation purpose.",868,132,
oai:catalogue.data.gov.bc.ca:forest-biodiversity-bc-cumulative-effects-framework-2019-assessment,gemini-3.1-flash-lite,True,,none,forestry_agriculture_fisheries,yes,not_applicable,dataset,english,The record describes a dataset assessing forest biodiversity and habitat conditions within a forestry management framework.,1253,111,
oai:https-zenodo.org:10.5281/zenodo.17120186,gemini-3.1-flash-lite,True,human,species,human_health,not_applicable,not_applicable,report,english,The record is a study about human health service accessibility and the distribution of the physiotherapy workforce.,829,119,
oai:catalogue.cioos.ca:72871653-e8ca-4591-ac88-141f8e05e1be,gemini-3.1-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,"The record describes the deployment of a CTD instrument to measure physical properties of seawater such as conductivity, temperature, and pressure.",1001,118,
oai:data.ontario.ca:out-of-province-tracking-application-for-laboratory-services,gemini-3.1-flash-lite,False,,none,human_health,not_applicable,not_applicable,dataset,french,"The record describes a dataset containing personal health information for laboratory service funding applications, which does not concern living organisms or ecosystems.",840,117,
oai:borealisdata.ca-dataverse-ubc:885399_150149,gemini-3.1-flash-lite,True,gut bacteria; mammals; human; mouse models,group,organisms,not_applicable,not_applicable,other,english,The record describes a biochemical study involving gut microbiota and murine models to develop a drug delivery system.,929,124,
oai:catalogue.cioos.ca:ca-cioos_a82c9c2b-6590-41d3-999b-5f97af2df5b7,gemini-3.1-flash-lite,True,,none,physical_environment,not_applicable,not_applicable,dataset,french,"The record describes the deployment of a Slocum glider to collect physical, chemical, and biological ocean data, but does not name specific organisms.",854,122,
oai:datastream.org:https://datastream.org/en-ca/dataset/0e717ea0-779e-47ca-a47b-e9c9b8234c96,gemini-3.1-flash-lite,True,,none,habitat_or_ecosystem,not_applicable,not_applicable,dataset,english,"The record describes a water quality monitoring dataset for a watershed, which is an ecosystem-level study.",846,116,
oai:borealisdata.ca-dataverse-ubc:1015020_92059_112338_1013640_1013642,gemini-3.1-flash-lite,True,children; Child; Infant,species,human_health,not_applicable,not_applicable,dataset,english,The record describes a clinical dataset concerning oxygen administration to critically ill children in a hospital setting.,1467,130,
oai:catalogue.data.gov.bc.ca:fish-distribution-upper-coquihalla-reaches-lower-mainland,gemini-3.1-flash-lite,True,fish,group,forestry_agriculture_fisheries,yes,not_applicable,dataset,english,The record describes a fish distribution inventory dataset for the Upper Coquihalla region.,829,119,
oai:opendata.gov.nt.ca:marital-status,gemini-3.1-flash-lite,False,,none,administrative,not_applicable,not_applicable,other,english,"The record concerns human marital status and demographic categories, which does not pertain to living organisms in an ecological or biological context.",738,115,
oai:borealisdata.ca-dataverse-waterloo:75466_71256,gemini-3.1-flash-lite,True,invasive species,group,organisms,not_applicable,not_applicable,dataset,english,The record provides data on the management of invasive species by private landowners in the context of conservation incentive programs.,818,121,
oai:open.canada.ca:75d5b4a6-3d80-51a3-8bb7-f530dc0e63d2,gemini-3.1-flash-lite,False,,none,forestry_agriculture_fisheries,no,not_applicable,dataset,french,"The record describes an atlas map showing the locations and production capacities of pulp and paper mills, which is an industrial and economic topic rather than one about the organisms themselves.",848,127,
oai:datadryad.org:doi:10.5061/dryad.gj14q,gemini-3.1-flash-lite,True,bee; carpenter bee; Xylocopa virginica; native bees; eastern carpenter bee; X. virginica,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset about the population genetics and nesting habits of the carpenter bee species Xylocopa virginica.,1044,161,
