record_id,model,concerns_living_things,organisms,organism_level,topic,about_organisms_themselves,ecological_purpose_stated,form,language,model_reason,input_tokens,output_tokens,thinking_tokens
oai:open.canada.ca:85f60526-ba27-50eb-a64e-933eb0de1e30,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,The record describes an airborne or marine geophysical survey measuring the total magnetic field and does not mention living organisms.,844,114,
oai:open.alberta.ca:data-tables-graduate-outcomes-survey-private-vocational-training-institutions-class-2018-2019,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,"The record provides survey data on human post-secondary graduates from vocational institutions and does not mention living organisms, ecosystems, or physical environments.",864,118,
oai:open.yukon.ca-data:crown-grants-50k,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,The record provides spatial data on historical land Crown grants in the Yukon without an ecological purpose or living subjects.,954,114,
oai:catalogue.data.gov.bc.ca:recreational-fish-fishery-coastal-resource-information-management-system-crims-,gemini-3.5-flash-lite,True,fish,group,forestry_agriculture_fisheries,no,not_applicable,dataset,english,The record is a legacy dataset about marine recreational fish fisheries and coastal resource management in British Columbia.,832,121,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/61140,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,other,english,"The record discusses mathematical intersection numbers, integrability, and differential equations without mentioning any living things.",895,110,
oai:catalogue.data.gov.bc.ca:alcids-coastal-resource-information-management-system-crims,gemini-3.5-flash-lite,True,Alcids; Seabirds; marine bird; auk; alcid; pelagic bird,group,organisms,not_applicable,not_applicable,dataset,english,"The record is a legacy dataset about the distribution, abundance, and habitat of alcids and seabirds in coastal British Columbia.",885,156,
oai:open.canada.ca:77ddb43e-3357-4d7f-9329-6c50d38e7912,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,The record describes an airborne geophysical survey measuring gamma-ray spectrometry and magnetism with no living subjects.,841,112,
oai:open.canada.ca:16282d1a-383f-4b9e-b703-a3ee21e59dc5,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,The record is a dataset about oil and natural gas pipelines and does not mention living things.,874,111,
oai:catalogue.data.gov.bc.ca:existing-potential-public-and-commercial-recreation-dsc,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,The record is about public and commercial recreation inventory and land use planning with no living organisms or ecological purpose specified.,812,115,
oai:catalogue.data.gov.bc.ca:traplines-of-british-columbia,gemini-3.5-flash-lite,True,fur bearing animals,group,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The record delineates trapline boundaries for licensed trapping of fur bearing animals, making it a dataset about harvesting rights rather than the organisms themselves.",804,132,
oai:data.ontario.ca:stream-neonicotinoid-monitoring-study,gemini-3.5-flash-lite,True,pollinisateurs; mais; soja; invertebres benthiques,group,habitat_or_ecosystem,not_applicable,not_applicable,dataset,french,The record provides dataset measurements of neonicotinoid concentrations in streams as part of a pollinator health action plan and mentions related organism studies.,1180,155,
oai:catalogue.cioos.ca:10-25976-f78l-dr06,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,The record describes a water quality monitoring program for rivers without mentioning any living organisms.,929,109,
oai:data.novascotia.ca:u7wb-ubj8,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,The record provides elevation data derived from LiDAR and does not mention living things or an ecological purpose.,898,112,
oai:open.alberta.ca:gda-c5e8e2c8-1236-4d03-97ff-a0f63ef3521b,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,"The record is about transportation infrastructure such as railway stations and bridges, with no living things mentioned.",766,110,
oai:datadryad.org:doi:10.5061/dryad.wwpzgmsp5,gemini-3.5-flash-lite,True,spongy moth; Lymantria dispar; moths; L. dispar; japonica; L. dispar asiatica; L. d. dispar,species,organisms,not_applicable,not_applicable,dataset,english,This record is a dataset about the population genomics and genetic structure of the spongy moth species.,1175,167,
oai:frdr-dfdr.ca-go-waterinstitute:oai:www.frdr-dfdr.ca:b22dca09-4d7c-4c65-9671-1a34e8b5878c,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,english,The record is a dataset about soil chemistry and nitrogen cycling in agricultural soils without any living subjects.,924,112,
oai:gnb.socrata.com:qncz-8usu,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,english,The record describes a geological dataset of till sampling locations and physical terrain observations with no living organisms mentioned.,990,113,
oai:borealisdata.ca:328128_193183,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,The record is about replication data and code concerning the economic impact of COVID-19 on consumption spending in Singapore.,858,114,
oai:datadryad.org:doi:10.5061/dryad.53b58,gemini-3.5-flash-lite,True,Atlantic salmon; Salmo salar,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset containing a genome scan comparing farmed and wild Atlantic salmon populations.,1018,125,
oai:borealisdata.ca-dataverse-odesi-data:578187_493340,gemini-3.5-flash-lite,True,Fish; Groundfish,group,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The record is a dataset about commercial fishing catch, effort, volume, and value of landings.",833,127,
oai:borealisdata.ca-dataverse-ualberta:227107_203043,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,The record is about audio lessons for learning the Lushootseed and Skagit languages.,860,108,
oai:open.canada.ca:638831f2-4ff5-4d5e-9296-c85543480b05,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,"The record is about international transactions in services and economic data, with no mention of living things.",765,110,
oai:https-zenodo.org:10.5281/zenodo.11200227,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,report,english,"This record is an audit report about equity, diversity, inclusion, and belonging in a university physics department and does not concern living organisms or ecosystems.",790,120,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/66776,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,The record is about mathematical physics and quantum theory with no mention of living things.,747,107,
oai:catalogue.data.gov.bc.ca:drastic-aquifer-intrinsic-vulnerability,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,english,The record is a spatial dataset about aquifer intrinsic vulnerability and groundwater without mentioning any living organisms.,915,111,
oai:borealisdata.ca-dataverse-mcgill:892222,gemini-3.5-flash-lite,True,Carollia perspicillata; Artibeus jamaicensis; Poecilia reticulata; bats; guppy,species,organisms,not_applicable,not_applicable,dataset,english,"The record contains data and code about foraging behaviour in specific tropical bat and guppy species, making the topic organisms and the form a dataset.",886,163,
oai:datadryad.org:doi:10.5061/dryad.f127gp0,gemini-3.5-flash-lite,True,Batrachochytrium dendrobatidis; frogs; American Bullfrog Rana catesbeiana; Mountain yellow-legged frog Rana muscosa,species,organisms,not_applicable,not_applicable,dataset,english,"The record is a dataset about infection experiments on specific frog species and a fungus, focusing on disease dynamics and coinfection.",1129,160,
oai:borealisdata.ca:378674_200569,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,The record is a georeferenced raster image of a historical topographic map showing natural and man-made features without an explicit ecological purpose or living organism focus.,1115,125,
oai:open.canada.ca:4c47aadf-94c5-467b-aa29-678e7398ee18,gemini-3.5-flash-lite,True,commercial timber,group,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The record is about a historical forest inventory focusing on timber commitments, cover volumes, and map boundaries.",1059,123,
oai:datadryad.org:doi:10.5061/dryad.4m5d5m9,gemini-3.5-flash-lite,True,Atlantic salmon; Salmo salar,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset about chromosome polymorphisms and genomic divergence in the species Atlantic salmon.,1027,125,
oai:open.canada.ca:eda98c3b-d372-488e-a5b0-588743063de1,gemini-3.5-flash-lite,True,species at risk,group,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset containing status updates for species at risk under the Endangered Species Act.,820,119,
oai:datadryad.org:doi:10.5061/dryad.6h3f7,gemini-3.5-flash-lite,True,Drosophila melanogaster,species,organisms,not_applicable,not_applicable,dataset,english,The record is a research dataset studying the fitness consequences of juvenile diet in Drosophila melanogaster.,976,118,
oai:open.canada.ca:01e60fcd-cfda-4ba3-b08f-5abf5e582442,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,The record is about geographic area boundaries created for health data mapping and does not mention living organisms or ecological purposes.,891,113,
oai:data-hrm.hub.arcgis.com-pages-open-data-catalogue:21d9299f13d54a37a8dc1c85916bb08b,gemini-3.5-flash-lite,True,,none,land_and_boundaries,not_applicable,yes,dataset,english,"The record is a polygon dataset of natural vegetation patches with a stated purpose of protecting biodiversity, soil, and water.",837,116,
oai:borealisdata.ca:214015_200569,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,The record is a georeferenced raster image of a historical topographic map and does not concern living things.,1101,115,
oai:open.canada.ca:25b1d384-882d-4aef-949c-68e8c038bf8b,gemini-3.5-flash-lite,True,field crops,group,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The record provides agricultural production, yield, price and value statistics for field crops, making it an agricultural dataset about economic and production metrics rather than the organisms themselves.",775,135,
oai:https-zenodo.org:10.5281/zenodo.16375031,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,report,english,This document explores prompt engineering methodologies and service delivery tools without mentioning any living organisms or ecosystems.,782,109,
oai:borealisdata.ca-dataverse-odesi-data:48360_493341,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,The record is about business establishment counts and economic classifications rather than living things.,1088,106,
oai:open.canada.ca:7087fe3f-ec6d-5a87-a77d-aac284a8038d,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,The record is about a geophysical borehole located in Sudbury with no mention of living organisms or ecosystems.,776,112,
oai:data.ontario.ca:exceptional-access-program-eap-dataset,gemini-3.5-flash-lite,False,,none,human_health,not_applicable,not_applicable,dataset,french,"The record contains patient and doctor information related to the Exceptional Access Program, which concerns human health rather than living organisms, ecosystems, or non-human species.",785,124,
oai:datadryad.org:doi:10.5061/dryad.mkkwh7142,gemini-3.5-flash-lite,True,,none,organisms,not_applicable,not_applicable,dataset,english,"The record is a dataset presenting a meta-analysis on species distributions and interactions along environmental gradients, focusing on ecological rules governing species turnover.",1019,118,
oai:borealisdata.ca-dataverse-westernu:423405_201809_290067_392452,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,The record provides federal electoral district boundaries for mapping census data and does not involve living organisms or ecosystems.,956,111,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/51707,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,The record discusses game theory and economics with no mention of living things or ecosystems.,749,107,
oai:catalogue.cioos.ca:ca-cioos_01c85cfa-450f-41f1-a582-d56175cd0caa,gemini-3.5-flash-lite,True,poissons; brochet; doré; perchaude; meunier noir; crapet-soleil; barbotte brune; esturgeon jaune,species,forestry_agriculture_fisheries,yes,not_applicable,dataset,french,The record provides survey data on specific fish species in the St. Lawrence River collected as part of a fisheries study.,974,177,
oai:geohub.lio.gov.on.ca:5a453c09bbf244a5aad0d9f00fb8a4f9,gemini-3.5-flash-lite,True,plants and animals; wetland,group,land_and_boundaries,not_applicable,yes,dataset,english,"The record is a mapping application for natural heritage areas with an explicit conservation purpose, mentioning plants and animals.",890,130,
oai:open.canada.ca:6639c8cb-ac43-417a-8bc7-551bc3f6ed98,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,french,The record provides cadastral and land boundary data for a specified area without mentioning any living organisms or ecological purpose.,918,115,
oai:borealisdata.ca-dataverse-carleton:81591_157_81319_81324_81576,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,The record describes a public opinion poll dataset focusing on social and political issues with no living organisms or ecosystems as its subject.,923,115,
oai:gnb.socrata.com:p3jb-t5d4,gemini-3.5-flash-lite,True,Ascophyllum nodosum; rockweed; algue noueuse; seabird; oiseaux marins,group,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The record details the management and harvesting sectors of the organism Ascophyllum nodosum, making it a fisheries management dataset.",1063,157,
oai:borealisdata.ca-dataverse-mcmaster:989261_707009,gemini-3.5-flash-lite,True,spruce budworm; fish,group,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset containing research data about organisms and food webs affected by spruce budworm defoliation.,915,129,
oai:open.canada.ca:55aca431-30bc-5ec2-aed2-0107219db8d8,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,The record is about seismic and magnetotelluric data from the LITHOPROBE project without mentioning any living things.,849,118,
oai:borealisdata.ca-dataverse-ubc:441232_150149,gemini-3.5-flash-lite,True,plants; Angiosperms,group,organisms,not_applicable,not_applicable,report,english,"The record is a written study synthesizing data on trait-dependent diversification in angiosperm plants, making organisms the main topic.",984,130,
oai:open.canada.ca:67e95c68-c1ef-4363-b351-0dfead151122,gemini-3.5-flash-lite,True,landes forestières; forêts,group,land_and_boundaries,not_applicable,yes,dataset,french,"The record provides ecological forest inventory zones as a classification framework for forest lands, which has an ecological purpose.",840,131,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/61979,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,other,english,"The record is about mathematics and Poisson geometry, containing no mention of living things or ecosystems.",798,109,
oai:open.canada.ca:21387052-301d-5bc3-ba99-7240e60ab0f8,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,french,The record provides satellite image composites and vegetation indices for land cover and climate change research without mentioning any specific living organisms.,1176,116,
oai:open.canada.ca:1d7cccbc-da07-49df-aa4c-f5b009fbcb5b,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,The record is a statistical table about government expenditures on culture and does not involve living organisms or ecosystems.,961,111,
oai:borealisdata.ca-dataverse-odesi-data:561056_653960,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,This record is a postal code conversion file used to link postal codes with census geographic units for statistical and planning purposes.,1304,114,
oai:borealisdata.ca-dataverse-guelph:1158092_16_41161_159675,gemini-3.5-flash-lite,True,dairy cow,group,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The record provides a spreadsheet to assess financial return on investment for feeding market dairy cows versus direct slaughter, so the topic is agriculture and concerns economics rather than organism biology.",823,136,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/55547,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,other,english,The record is about mathematical optimization and numerical analysis without any mention of living things.,757,107,
oai:borealisdata.ca-dataverse-mcmaster:918991_144,gemini-3.5-flash-lite,True,Red Pine,species,forestry_agriculture_fisheries,yes,not_applicable,dataset,english,The record is a replication dataset about sap flow in a Red Pine forest undergoing harvesting treatments.,838,121,
oai:borealisdata.ca-dataverse-westernu:458127_201809_290067_392452,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,This record is about census tract digital boundary files for mapping purposes and does not concern living organisms.,955,112,
oai:niagaraopendata.ca:niagara-falls-woodland-management-inventory-wgs-1984,gemini-3.5-flash-lite,True,trees; woodlands,group,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The record is a dataset about managed city woodlots and tree polygons, fitting forestry and woodland management without focusing on specific organism biology or conservation purposes.",817,137,
oai:datadryad.org:doi:10.5061/dryad.kb418,gemini-3.5-flash-lite,True,Dendroctonus ponderosae; mountain pine beetle,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset about the genetics and mating system of the mountain pine beetle species.,986,131,
oai:circle.library.ubc.ca:oai:circle.library.ubc.ca:2429/88145,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,report,english,This record discusses electronic skin technology and robotics engineering without concerning living organisms or ecosystems.,1162,107,
oai:catalogue.cioos.ca:ca-cioos_ccin-11992,gemini-3.5-flash-lite,True,poissons; mammifères marins,group,physical_environment,not_applicable,not_applicable,dataset,french,"The record is primarily about physical acoustic sonar data collection in the Beaufort Sea, though it mentions fish and marine mammals in passing.",927,135,
oai:https-zenodo.org:10.5281/zenodo.18930062,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,report,english,"The record is an academic paper about operations research and routing optimization algorithms, with no mention of living organisms or ecosystems.",917,114,
oai:https-zenodo.org:10.5281/zenodo.11377727,gemini-3.5-flash-lite,True,moss; Sphagnum moss; Feather moss; Sphagnum fuscum,species,organisms,not_applicable,not_applicable,dataset,english,"The record investigates moss restoration methods and regeneration following wildfire, focusing on specific moss species and types.",933,142,
oai:borealisdata.ca-dataverse-manitoba:700422_703751,gemini-3.5-flash-lite,True,honey bee; Hymenoptera: Apidae,group,forestry_agriculture_fisheries,yes,not_applicable,dataset,english,"The record provides data on honey bee viruses and agricultural treatments, falling under agricultural fisheries with organisms as the subject.",775,135,
oai:open.canada.ca:e31399e5-5de6-4038-a26d-0d401c9c68b3,gemini-3.5-flash-lite,False,,none,human_health,not_applicable,not_applicable,dataset,french,"The record concerns congenital anomalies in humans, making it a dataset about human health with no living organisms or ecosystems as its primary subject.",846,119,
oai:datadryad.org:doi:10.5061/dryad.d2547d8fh,gemini-3.5-flash-lite,True,Littorina littorea; L. littorea; littorinid,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset presenting population density and size structure data for the specific snail species Littorina littorea to analyze macroecology and environmental relationships.,1107,148,
oai:open.canada.ca:746678be-acaf-5f4d-b1c7-060fa6ef334f,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,"The record is about regional seismic and magnetotelluric data from the LITHOPROBE project, which are physical geophysical measurements without any living subjects.",851,124,
oai:borealisdata.ca-dataverse-carleton:110551_106202,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,report,english,The record is an architectural history report about a university building and contains no living subjects or ecological topics.,1229,111,
oai:loyalistmigrations-westernu.opendata.arcgis.com:c995f4e4fb03439b80cc0034ec144c99,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,"The record is about historical Loyalist migration events and archival sources, with no relation to living organisms or ecosystems.",807,113,
oai:borealisdata.ca-dataverse-ubc:1157466_150149,gemini-3.5-flash-lite,True,bark beetle; defoliators; forest insects; insects; plant pathogens,group,organisms,not_applicable,not_applicable,dataset,english,"The record provides research dataset files detailing spatial and temporal patterns of forest insects and bark beetles, focusing on biological disturbance agents.",1116,149,
oai:borealisdata.ca-dataverse-odesi-data:576454_493340,gemini-3.5-flash-lite,False,,none,other,not_applicable,not_applicable,dataset,english,"The record is a travel and tourism survey dataset measuring domestic travel volume and economic impact, with no primary focus on living organisms or ecosystems despite minor hobby mentions.",1026,122,
oai:catalogue.data.gov.bc.ca:oregon-spotted-frog-critical-habitat-on-non-federal-land-data-south-coast-sbot,gemini-3.5-flash-lite,True,Oregon Spotted Frog,species,land_and_boundaries,not_applicable,yes,dataset,english,"The record is a map dataset showing critical habitat for the Oregon Spotted Frog with an expressed stewardship objective, placing it under land and boundaries with an ecological purpose.",868,134,
oai:catalogue.data.gov.bc.ca:forest-biodiversity-bc-cumulative-effects-framework-2019-assessment,gemini-3.5-flash-lite,True,,none,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The record provides a dataset assessing forest biodiversity and cumulative effects as a resource management value, which fits forestry, agriculture, fisheries focused on resource stewardship rather than direct organism biology or non-living physical measurements.",1253,134,
oai:https-zenodo.org:10.5281/zenodo.17120186,gemini-3.5-flash-lite,True,,none,human_health,not_applicable,not_applicable,report,english,"The record is a research study about human health service accessibility and the physiotherapy workforce rather than living organisms, ecosystems, or land boundaries.",829,119,
oai:catalogue.cioos.ca:72871653-e8ca-4591-ac88-141f8e05e1be,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,The record describes physical oceanographic measurements and instruments without mentioning any living organisms.,1001,108,
oai:data.ontario.ca:out-of-province-tracking-application-for-laboratory-services,gemini-3.5-flash-lite,False,,none,human_health,not_applicable,not_applicable,dataset,french,"The record is about tracking health data and laboratory services for humans, with no living organisms or ecosystems involved.",840,114,
oai:borealisdata.ca-dataverse-ubc:885399_150149,gemini-3.5-flash-lite,True,gut bacteria; gut microbiota; mouse models; mice,group,organisms,not_applicable,not_applicable,report,english,"The record is primarily about gut microbiota and drug targeting in murine models, making it a report focused on organisms.",929,139,
oai:catalogue.cioos.ca:ca-cioos_a82c9c2b-6590-41d3-999b-5f97af2df5b7,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,dataset,french,"The record describes the deployment of a Slocum glider to collect physical, chemical, and biological oceanographic data without naming any specific organisms or being about living things as the main subject.",854,130,
oai:datastream.org:https://datastream.org/en-ca/dataset/0e717ea0-779e-47ca-a47b-e9c9b8234c96,gemini-3.5-flash-lite,True,,none,habitat_or_ecosystem,not_applicable,not_applicable,dataset,english,The record describes a water quality dataset tracking watershed health and freshwater ecosystems without naming specific organisms.,846,114,
oai:borealisdata.ca-dataverse-ubc:1015020_92059_112338_1013640_1013642,gemini-3.5-flash-lite,True,child; children; infant,species,human_health,not_applicable,not_applicable,dataset,english,The record contains a dataset on oxygen administration and clinical data for critically ill children in a hospital setting.,1467,132,
oai:catalogue.data.gov.bc.ca:fish-distribution-upper-coquihalla-reaches-lower-mainland,gemini-3.5-flash-lite,True,fish,group,forestry_agriculture_fisheries,yes,not_applicable,dataset,english,The record is a dataset about fish distribution from a fish and fish habitat inventory.,829,118,
oai:opendata.gov.nt.ca:marital-status,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,"The record concerns human demographics and marital status, which does not relate to living organisms, ecosystems, or biological research.",738,114,
oai:borealisdata.ca-dataverse-waterloo:75466_71256,gemini-3.5-flash-lite,True,,none,forestry_agriculture_fisheries,no,not_applicable,dataset,english,"The dataset concerns the management of invasive species by private landowners under conservation incentive programs, making it administrative and management-focused rather than biological.",818,121,
oai:open.canada.ca:75d5b4a6-3d80-51a3-8bb7-f530dc0e63d2,gemini-3.5-flash-lite,False,,none,forestry_agriculture_fisheries,no,not_applicable,dataset,french,"The record is about pulp and paper mills and their production capacity, economics, and exports, without focusing on living organisms.",848,118,
oai:datadryad.org:doi:10.5061/dryad.gj14q,gemini-3.5-flash-lite,True,bee; Xylocopa virginica; eastern carpenter bee; carpenter bees,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset presenting population genetic data for the eastern carpenter bee Xylocopa virginica.,1044,144,
