sampled_because,keyword_kept,title,subjects,abstract
kept_clear,True,Human Activities in Ecosystems - Productive Forest Land Use,['economics_and_industry'],"Les forêts soutiennent des centaines d'économies au Canada. Les intervenants de l'industrie forestière participent activement à la conservation et au développement durable des écosystèmes forestiers. Du point de vue légal, ce sont les provinces et les territoires qui gèrent les forêts. L'objectif premier de la gestion des forêts est la production du bois d'œuvre, réalisée par la récolte des arbres et le reboisement de territoires déjà exploités ou endommagés par le feu ou les insectes. La coupe à blanc est la principale technique de récolte utilisée au Canada. Toutefois, des méthodes de coupe "
kept_clear,True,Brampton Plan-Schedule 8-Energy Planning Districts,"['Brampton Plan' 'Schedule' 'land developers' '8' 'Districts' 'planning'
 'Energy']","Mapping depicts Brampton Plan Schedule 8 Energy Planning Districts with numeric value used for energy planning purposes. Energy Planning Districts are geographic areas identified for coordinated energy planning and infrastructure investment. These districts support the implementation of low-carbon energy solutions, district energy systems, energy conservation measures, and other initiatives that advance Brampton's sustainability and climate change objectives. This data is intended to be used in conjuction with other related mapping layers for this schedule, and may be impacted by other schedul"
kept_questionable,True,Data from: Nowhere to hide: the impact of linear disturbances on the spatial dynamics of predator and prey in a large mammal system,"['Predator-prey dynamics' 'linear disturbances' 'Black bear' 'refuge'
 '2011 - 2014' 'Rangifer tarandus caribou' 'prey' 'Canis lupus'
 'Raniger tarandus caribou' 'Wolves']","Rapid landscape alteration associated with human activity is currently challenging the evolved dynamical stability of many predator-prey systems by forcing species to behaviorally respond to novel environmental stimuli. In many forested systems, linear features (LFs) such as roads, pipelines and resource exploration lines (i.e. seismic lines) are a ubiquitous form of landscape alteration that have been implicated in altering predator-prey dynamics. One hypothesized effect is that LFs facilitate predator movement into and within prey refugia, thereby increasing predator-prey spatial overlap. We"
kept_questionable,True,Data from: Subtle shift in groundfish depth distribution within the impact range of seismic surveying along a continental slope,"['Seismic exposure' 'cod fisheries' 'anthropogenic noise'
 'effects of sound on zooplankton' 'vertical movement' 'fish behaviour']","The impact of an industry-based 3D seismic airgun survey on fish and zooplankton was investigated on offshore commercial fishing grounds in Newfoundland and Labrador, Canada. Seismic surveying was conducted for 100 consecutive days by Petroleum GeoServices using the Ramform Titan seismic vessel during summer 2021. A seabed moored autonomous multichannel acoustic recorder measured sound levels while a wideband autonomous transceiver equipped with 38 and 333 kHz transducers measured fish and zooplankton backscatter in the water column. The distance between the seismic survey vessel and the instr"
kept_questionable,True,Fraser Riverkeeper Vancouver Community-Based Water Monitoring Program,['Recreational Water Quatily' ' Community Based-Water Monitoring'],"The False Creek Water Monitoring Program, is a community science initiative by Fraser Riverkeeper, a Swim Drink Fish initiative. It was launched in the summer of 2018 on Granville Island, Vancouver, British Columbia. Water samples at seven locations in and around False Creek were collected and processed weekly by staff and volunteer monitoring teams. Samples were analysed for E. coli levels at our new in-house Swim Drink Fish IDEXX lab and results shared with the public through the Swim Guide app. The program found that water quality in False Creek generally meets government guidelines. Bacter"
kept_questionable,True,Data from: Resource exploitation collapses the home range of an apex predator,[],"Optimizing energy acquisition and expenditure is a fundamental trade-off for consumers, strikingly reflected in how mobile organisms use space. Several studies have established that home range size decreases as resource density increases, but the balance of costs and benefits associated with exploiting a given resource density is unclear. We evaluate how the ability of consumers to exploit their resources through movement (termed ""resource exploitation"") interacts with resource density to influence home range size. We then contrast two hypotheses to evaluate how resource exploitation influence"
kept_questionable,True,Neighboring edges: interacting edge effects of linear disturbances on vegetation in treed fens,"['Cumulative effects' 'edge influence' 'understory vegetation'
 'seismic lines' 'treed peatlands' 'edge effects' 'Boreal']","The influence of edges on forest biodiversity is an important environmental effect associated with habitat fragmentation, as edge effects can further reduce the remaining 'interior' habitat. However, extrapolating the influence of edges across the broader landscape has been difficult, especially regarding how to treat multiple edges in close proximity, where edge effects might interact. In this study, we examined the interaction of edge effects for multiple edges from a dense network of narrow (3-8 m wide) and low-severity linear disturbances called 'seismic lines'. Seismic lines are created d"
kept_questionable,True,A Comprehensive Global Database of Tailings Flows,"['Earth and Environmental Sciences' 'Engineering' 'liquefaction'
 'Tailings dam breaches' 'runout behaviour' 'tailings flows'
 'mass movements' 'mine waste']","Tailings are finely ground waste rock produced as a by-product of standard mining projects as well as some industrial and power plant operations. Tailings are conventionally impounded behind a dam that is raised perpetually insofar as operations continue, thus amassing large volumes of materials (sometimes including supernatant pond water) in the process. The failures of some tailings impoundments have triggered downstream mass movements that have caused human, economic and environmental impacts, thus inviting considerable public attention and scrutiny. Developing a detailed inventory of these"
kept_questionable,True,"Apramycin resistance in bacteria isolated from animals, a systematic review and meta-analysis (dataset)","['Medicine, Health and Life Sciences' 'apramycin'
 'antimicrobial resistance' 'antimicrobials']","Objective: To identify and assess published data pertaining to apramycin resistance in bacteria isolated from animals, to inform discussions related to the potential re-purposing of apramycin for use in humans Animals and procedures: A systematic review and meta-analysis of studies that reported apramycin susceptibility testing in bacteria from animals was performed. Results: Seventy-three references were included. Apramycin resistance was uncommon in E. coli and Salmonella from healthy pigs, poultry and cattle, with overall pooled prevalences being 7% (95% confidence interval 2-13%) for E. co"
kept_questionable,True,CHaNGE: Coastal Hydrodynamics and Natural Geologic Evolution,"['Earth and Environmental Sciences' 'Engineering' 'Geomorphic evolution'
 'Estuary' 'Hydrodynamic' 'Climate change']","Pamlico Sound, a large back-barrier estuary in North Carolina, is under threat of climate change due to increased storm activity and sea-level rise. The response of this system is investigated byconsidering what has already happened during changes in sea-level over the late Holocene epoch. The hydrodynamic changes that occurred in response to geomorphic evolution are simulated using a 3D numericalmodel for four distinct 'time-slice' scenarios. To accomplish this, the present-day bathymetry was obtained from a high resolution digital elevation model, and paleo-bathymetric grids were developed f"
kept_questionable,True,Boreal predator co-occurrences reveal shared use of seismic lines in a working landscape,"['wildlife conservation' 'Canis latrans' 'Lynx canadensis'
 'human disturbance' 'Camera trap surveys' 'Multi-species monitoring'
 'Canis lupus']","Interspecific interactions are an integral aspect of ecosystem functioning that may be disrupted in an increasingly anthropocentric world. Industrial landscape change creates a novel playing field on which these interactions take place, and a key question for wildlife managers is whether and how species are able to coexist in such working landscapes. Using camera traps deployed in northern Alberta, we surveyed boreal predators to determine whether interspecific interactions affected occurrences of black bears (Ursus americanus), coyotes (Canis latrans), and lynx (Lynx canadensis) within a land"
kept_questionable,True,The role of cell-envelope synthesis for envelope growth and cytoplasmic density in Bacillus subtilis,"['cell-envelope synthesis' 'cell envelope growth' 'mass density'
 'Bacillus subtilis']","All cells must increase their volumes in response to biomass growth to maintain intracellular mass density within physiologically permissive bounds. Here, we investigate the regulation of volume growth in the Gram-positive bacterium Bacillus subtilis . To increase volume, bacteria enzymatically expand their cell envelopes and insert new envelope material. First, we demonstrate that cell-volume growth is determined indirectly, by expanding their envelopes in proportion to mass growth, similarly to the Gram-negative Escherichia coli , despite their fundamentally different envelope structures. Ne"
kept_questionable,True,"Replication Data for: Seismic site characterization and region-specific seismic site parameter relationships of Essex County, Ontario, Canada",['Earth and Environmental Sciences' 'Engineering'],"Datasets of the associated Sharma and Molnar (2024) SRL journal publication. Shear-wave velocity depth profile measurements from invasive methods (Invasive Vs-depth_profiles.xlsx) and non-invasive methods (Non-invasive Vs-depth_profiles.xlsx) as well as common seismic site characterization parameters (Vs30, f0, drift thickness) determined for all sites (SiteLocations-Vs30-f0-hd.xlsx)."
kept_questionable,True,Data from: Natural regeneration on seismic lines influences movement behaviour of wolves and grizzly bears,"['Ursus arctos' 'wolf' 'Holocene' 'Seismic line' 'Canis lupus'
 'Rangifer tarandus' 'grizzly bear']","Across the boreal forest of Canada, habitat disturbance is the ultimate cause of caribou (Rangifer tarandus caribou) declines. Habitat restoration is a focus of caribou recovery efforts, with a goal to finding ways to reduce predator use of disturbances, and caribou-predator encounters. One of the most pervasive disturbances within caribou ranges in Alberta, Canada are seismic lines cleared for energy exploration. Seismic lines facilitate predator movement, and although vegetation on some seismic lines is regenerating, it remains unknown whether vegetation regrowth is sufficient to alter preda"
dropped,False,Local Appeals Body Appeals,['tlab'],"This dataset includes information about appeals submitted to the Toronto Appeal Body for decisions of the committee of Adjustments on minor variances to zoning by-laws and consents. In 2017, City Council passed [Toronto Municipal Code Chapter 142](https://www.toronto.ca/legdocs/municode/toronto-code-142.pdf) and created the Toronto Local Appeal Body (TLAB). The TLAB has Council appointed members who will make decisions about local planning matters affecting Toronto Neighbourhoods in a fair, consistent, fact-based and informed manner. Appeal hearings are public."
dropped,False,An Overview of Relative Trisections,"['Mathematics' 'Low dimensional topology' 'Manifolds and cell complexes'
 'Differential geometry']","Based on the notion of trisections of closed 4--manifolds of Gay and Kirby, Nick Castro and myself developed a rigorous definition of relative trisections as a generalization of trisections to 4--manifolds with boundary. In the talk I will present the basics of relative trisections starting with their relationship to open book decompositions of the bounding manifolds. I will then introduce a stabilization operation that gives rise to a statement about the uniqueness of relative trisections, thus complementing Gay and Kirby's proof of the existence of relative trisections. Finally, I will intro"
dropped,False,Corneal Laser Procedure for safety and efficacy in vision improvement,[],"Purpose: To determine the safety and efficacy of corneal photovitrification (CPV), a corneal laser procedure, for vision improvement in patients with neovascular age-related macular degeneration (nAMD) and other retinal disorders involving central vision loss. Design: Retrospective observational cohort study. Methods : In this retrospective observational case series, 72 eyes of 54 patients received a single CPV treatment. Examinations included pre- and post-treatment (post-Tx) best-corrected distance visual acuity (BCDVA) and pre-Tx potential visual acuity (PVA). Results: Safety - No clinicall"
dropped,False,Towards multiscale modeling of incommensurate 2D van der Waals heterostructures,"['Mathematics' 'Mechanics of deformable solids' 'Quantum theory'
 'Applied analysis / inverse problems']","Two-dimensional materials have generated a lot of interest in the past decade as a new toolbox for electron- ics [1]. This family includes insulators (boron nitride), semiconductors (transition metal dichalcogenides), and conductors (graphene). Vertical stacks of a few layers of such materials, interacting through van der Waals forces, create a venue to explore and tune desired mechanical and electronic properties. Numerical computations will be essential to explore the possibilites of such assemblies, such as tuning properties through the relative twist angle between layers, chemical doping, "
dropped,False,Liquefied Natural Gas – Exports ,['economics_and_industry'],"La Régie de l'énergie du Canada réglemente les exportations de gaz naturel. Au Canada, des ordonnances ou des licences sont requises pour exporter du gaz naturel (y compris le gaz naturel liquéfié). Les titulaires de ces autorisations doivent faire rapport de leurs activités chaque mois à la Régie. Les activités d'importation et d'exportation de gaz naturel liquéfié par terminal sont disponibles depuis 2009 à août 2024. Les données sont décalées d'environ deux mois. Avertissement relatif aux données : 1.) La Régie de l'énergie du Canada a cessé d'autoriser les activités d'importation de gaz na"
dropped,False,MoEML Mayoral Shows,[],"This anthology is one of the outputs of a grant-funded project called Walking Texts in Early Modern London. The project has a dual interest in the multiple editions of John Stow's Survey of London, which pageant writer Anthony Munday updated in 1618. Pageant book collector Humphrey Dyson worked with Munday to deliver a fourth, much-expanded folio edition in 1633. The editions of the 1598 and 1633 Surveys published on the MoEML site and the editions of the mayoral pageant books published here allow us to identify connections across this canon of walking texts—texts that transcribe a route on th"
dropped,False,BC Schools - School District Funding Allocation 2008-2009,"['adult' 'first nation' 'special needs' 'funds' 'summer school' 'native'
 'operating' 'labour settlement' 'ESL' 'special education' 'district'
 'teacher' 'school']","Operating grants fund allocations for public school districts only for Fiscal Year 2008-2009. Includes data about grants to support students with unique needs (special education, English as a Second Language (ESL), aboriginal), enrolment decline and teacher salaries, labour settlement funding, summer learning."
dropped,False,TRIM Surface Points,['TRIM' 'basemap' 'Canada' 'surface' 'topographic map'],"Surface features too small to show at current scale. The TRIM program produces digital maps, which is a collection of coverages to conform with the BC Geographic System layout. TRIM mapping consists of 7,027 mapsheets covering the province of British Columbia at a scale of 1:20 000."
dropped,False,CAGDB - Victoria Island I,['form_descriptors' 'nature_and_environment' 'science_and_technology'],Les données enregistrées durant ce levé géophysique aéroporté ou marin sont : Champ magnétique total. L'espacement des lignes est de 800 m pour un total de 61300 kilomètres. Le levé a été effectué pendant la période allant de 1995-06-07 et 1995-08-09. Les données furent Enregistrées numériquement. Plat-forme : Avion.
dropped,False,Quality of Life Physical Environment Indicator - Incidence of Property Crime,['society_and_culture'],"Le milieu physique s'entend des conditions externes dans lesquelles nous évoluons. La carte présente la qualité du milieu physique, celui dans lequel les gens vivent. Il comprend des aspects liés à l'accès aux services, à la sécurité, et à la sûreté ainsi que des conditions environnementales relatives à la qualité de l'air et au logement. Nous avons retenu huit indicateurs pour évaluer les aspects de la qualité du milieu physique."
dropped,False,710626SE,"['Open Data' '2022' 'open terms of use' 'Imagery' 'Aerial Imagery'
 'geoTIFF' 'orthophoto']","This georeferenced orthophoto visualizes a segment of the City of Grande Prairie, captured in spring of 2022. Images are 3-band RGB geoTIFF files at a GSD/resolution of 10cm. The file name corresponds to the quarter-section represented in the image using the Alberta Township System where XX-YY-ZZ-QS represents the following: XX= Township # YY= Range # ZZ= Section # QS= Quarter-section (ex. NW, SE, etc,) As an example, 700526NW would be Township 70, Range 05, Section 26, NW quarter. All imagery is west of the 6th meridian (W6)."
dropped,False,"Enquête nationale auprès des diplômés, 2018 [Canada]: Promotion de 2015","['Social Sciences' 'Formation' 'Travail' 'Apprentissage' 'Chômage'
 'Résultats éducationnels' 'Éducation' ""Domaines d'étude"" 'Emploi']",Les données de cette enquête serviront à mieux comprendre les expériences et les résultats des diplômés et à améliorer les programmes gouvernementaux. L'enquête est conçue pour recueillir des détails sur des sujets tels que: i) la mesure dans laquelle les diplômés de programmes d'études postsecondaires ont réussi à se trouver un emploi depuis l'obtention de leur diplôme; ii) le rapport entre le programme d'études des diplômés et l'emploi obtenu par la suite; iii) le type d'emploi obtenu et les qualifications requises ; iv) sources de financement pour l'éducation postsecondaire ; et v) les prêt
french,False,"Survey of 1990 Graduates, June 1992, 1992",['Other' 'Education'],"The purpose of this survey is to provide information on the integration of graduates from post-secondary educational institutions into the labor market, in terms of the match between education or training and occupation. The survey provides labor-market information in terms of new supplies of highly-skilled or qualified labor. It provides the basis for analysis relating to employment and under-employment conditions for males and females, transitions from fields of study to occupations, and comparisons of entry-level conditions among various occupations."
french,False,Survey results: Gender and sex information on Ontario government IDs and forms,"['Gouvernement et finances' 'Government and Finance' 'Government'
 'Gouvernement']","La consultation s'est deroulee du 8 aout au 16 septembre 2016. Les resultats de la consultation ont servi a elaborer une politique gouvernementale sur la façon dont les renseignements lies au genre et au sexe sont recueillis, utilises, conserves et affiches dans les pieces d'identite et formulaires du gouvernement. [En savoir plus sur la consultation et la politique](https://www.ontario.ca/fr/page/consultation-renseignements-lies-au-genre-et-au-sexe-sur-les-pieces-didentite-et-les-formulaires)."
french,True,Game Hunting Areas,['nature_and_environment'],"Le but de cet ensemble de données est de donner une représentation précise des limites de la chasse au gibier au Manitoba. Le but de cet ensemble de données est de donner une représentation précise des limites de chasse au gibier au Manitoba. Les zones de chasse au gibier (GHA) sont définies conformément au Règlement sur les zones et zones de chasse (220/86) de la Loi sur la faune (CCSM c. W130). Les zones de chasse au gibier sont utilisées pour établir les limites pour les saisons de chasse spécifiques à l'espèce, les allocations de prises, les limites de prises et les règlements connexes. Re"
french,False,"GHGSat plume dataset for article ""Global satellite survey reveals uncertainty in landfill methane emissions""",[],"This dataset provides the GHGSat observations on which the article entitled ""Global satellite survey reveals uncertainty in landfill methane emissions"" relies. It contains: GHGSat_detected_plumes.csv: a CSV file reporting on all GHGSat observations (positive detections and non-detections). It contains the following columns: site_ID: waste disposal site identification number lat: latitude of the GHGSat automatically detected source lon: longitude of the GHGSat automatically detected source Q_t_per_hour: the estimated methane emission rate using the Integrated Mass Enhancement (IME) method, in t"
french,False,Regional Tourism Profiles,"['Économie et affaires' 'Culture and Recreation' 'Economy and Business'
 'Culture et loisirs' 'Government' 'Gouvernement']","Les Profils touristiques regionaux contiennent des statistiques sur le tourisme au niveau regional. Les profils comprennent des donnees sur les visites, les depenses, le nombre d'entreprises associees au tourisme, la performance des hotels et les revenus touristiques detailles."
french,False,North American Central Plains Anomaly,"['form_descriptors' 'nature_and_environment' 'science_and_technology'
 'economics_and_industry']","Cet ensemble de données représente l'emplacement de l'anomalie de conductivité des plaines centrales de l'Amérique du Nord de la province de la Saskatchewan. Cet ensemble de données représente l'emplacement de l'anomalie de conductivité des plaines centrales de l'Amérique du Nord de la province de la Saskatchewan. Les données ont été créées en tant que classe d'entités de géodatabase fichier et en sortie pour distribution publique. **Remarque : Tous les ensembles de données publiés par la Commission géologique de la Saskatchewan, y compris ceux disponibles par le biais du Saskatchewan Mining a"
french,False,National Occupational Classification (NOC) 2016 Version 1.1,['economics_and_industry'],"La Classification nationale des professions (CNP) 2016 version 1.1 est une mise à jour de la Classification nationale des professions 2016 version 1.0. La CNP est développée et diffusée grâce à la collaboration entre Emploi et Développement social Canada (EDSC) et Statistique Canada. La présente mise à jour est fondée sur des recherches continues et des consultations sur les professions, afin d'y intégrer des nouvelles informations."
french,False,"Innovation and business strategy, business activities undertaken",['science_and_technology'],"Enquête sur l'innovation et les stratégies d'entreprise, activités commerciales effectuées, selon le Système de classification des industries de l'Amérique du Nord (SCIAN) et la taille de l'entreprise pour le Canada et les régions de 2009 à aujourd'hui."
french,True,Moose Abundance - Riding Mountain,['nature_and_environment'],"Le nombre d'orignaux dans le parc national du Mont-Riding dépend de la chasse, du nombre de prédateurs, des rigueurs de l'hiver et des maladies. Le parc national du Mont-Riding effectue chaque année des relevés aériens pour dénombrer la population d'orignaux afin de déterminer si elle se situe à l'intérieur des seuils établis d'après les estimations historiques."
french,True,Manitoba Wildlife Lands,['nature_and_environment'],"Cette carte interactive montre les refuges, les zones spéciales de conservation et les zones de gestion de la faune (WMA) ainsi que les zones de chasse gérées et les zones de contrôle des animaux, les sentiers officiels et les points d'intérêt de la WMA, la zone d'interdiction des feux centraux en milieu urbain et les zones de chasse au gibier au Manitoba. Cette carte interactive montre les refuges, les zones spéciales de conservation et les zones de gestion de la faune (WMA) ainsi que les zones de chasse gérées et les zones de contrôle des animaux, les sentiers officiels et les points d'intér"
french,False,Children and youth mental health: organizational and clinical data,['government_and_politics'],"Les donnees organisationnelles contiennent des renseignements qui ne permettent pas l'identification des clients qui ont ete aiguilles, qui ont reçu des services, qui ont ete admis au CPRI, et autorises a en sortir. Les donnees d'evaluation cliniques incluses ont ete recueillies en utilisant les instruments interRAI Sante mentale enfants et jeunes (SMEJ) et SMEJ- Deficience Developpementale (SMEJ-DD). Ces instruments d'evaluation sont conçus pour les enfants et les jeunes ayant de problemes de sante mentale et recevant des services de programmes de sante mentale en hopital et dans la communaut"
french,False,"Total count and T4 earnings of inter-jurisdictional employees by target province or territory, inactive",['labour'],Le nombre total annuel et les revenus agrégés annuelles des employés interprovinciaux et des employés résidents en ce qui concerne les provinces et territoires selon la province ou le territoire de résidence ou d'emploi. Les estimations sont disponibles de 2002 à 2018.
